"well" "jazz" "museums" "paintings" "center" "march" "much" "images" "opera" "studio" "says" "morris" "west" "no" "performance" "gifts" "music" "last" "company" "her" "get" "major" "strike" "stage" "collection" "life" "building" "barbera" "me" "artist" "cat"
"24" 0 0 0 0 3 0 0 0 0 0 3 4 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 5 1 1 1
"25" 0 0 0 15 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 5 15 2 2 1
"26" 0 0 0 15 0 0 0 0 0 0 0 1 3 0 0 0 1 0 0 0 0 0 0 3 0 0 2 0 0 2 1
"27" 2 0 0 22 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 3 1 1
"28" 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 1
"29" 0 0 0 0 1 0 0 0 1 0 9 0 0 0 0 0 0 0 3 0 1 2 0 0 0 0 2 1 3 8 1
"30" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 6 3 1
"31" 1 2 5 0 0 0 3 0 0 0 1 3 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"32" 0 1 2 1 0 0 0 0 1 1 0 1 0 0 0 0 1 3 2 0 0 0 1 0 0 0 1 0 0 0 0
"33" 0 21 0 0 0 0 1 0 0 0 1 5 1 0 0 1 0 0 0 0 7 0 7 0 0 0 0 0 2 0 0
"34" 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 1 0 0 0 0 0 2 1 0
"35" 4 1 0 0 0 1 2 0 0 0 1 2 0 0 0 0 0 0 3 0 0 0 0 1 1 0 0 0 0 0 0
"36" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 3 0 0 0 2 4 0 1 0 0 0 0 0
"37" 2 0 0 0 0 4 1 0 0 0 0 0 0 0 0 2 0 0 2 0 4 0 17 0 1 4 0 0 0 0 0
"38" 0 0 3 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 3 0 0 1 0 0 1 0 0
"39" 3 1 0 0 0 3 3 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"40" 0 0 3 0 0 2 4 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"41" 3 8 14 0 0 1 0 2 0 0 1 0 0 1 0 3 0 1 0 0 0 2 0 1 0 2 0 3 0 0 0
"42" 0 1 3 2 0 1 2 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0
"43" 2 1 5 1 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"44" 0 0 0 2 0 0 2 0 0 0 0 0 0 2 1 0 2 0 0 0 0 1 9 0 0 0 0 0 0 0 0
"45" 1 0 1 0 0 0 0 7 0 0 0 8 0 2 0 4 10 0 12 1 0 0 0 0 0 0 0 0 0 0 0
"46" 14 0 3 0 0 1 0 2 0 0 0 0 0 1 2 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"47" 0 1 0 1 0 1 3 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"48" 0 0 0 1 0 0 15 24 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0
"49" 0 0 29 0 0 3 0 0 0 0 0 1 1 0 12 0 1 0 6 1 1 1 0 0 0 2 0 1 0 0 0
"50" 26 7 0 1 0 0 1 1 1 1 1 6 0 0 2 0 0 0 0 0 3 0 0 0 0 2 0 0 0 0 0
"51" 8 3 0 0 1 0 14 4 1 0 0 0 0 2 0 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"52" 18 0 0 0 0 0 0 0 0 2 1 0 1 9 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
"53" 2 1 0 0 0 1 3 3 1 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0
"54" 0 1 0 1 0 0 0 2 0 0 0 0 0 0 1 2 1 3 0 0 1 0 0 0 0 0 0 0 0 0 0
"55" 0 0 0 0 0 9 0 3 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0
"56" 0 14 0 0 0 0 4 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"57" 1 0 0 0 0 0 0 1 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
"58" 1 0 0 1 0 0 0 1 2 0 0 0 1 0 0 3 0 1 0 0 0 4 0 0 2 1 0 0 0 0 0
"59" 0 0 0 0 8 0 0 6 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 1 0 0 0
"60" 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 2 0 0 0 0 0 0 0 0
